,Entity,Code,Year,% Obese
0,Nauru,NRU,2014,60.3
1,Cook Islands,COK,2014,54.9
2,Palau,PLW,2014,54.2
3,Marshall Islands,MHL,2014,51.8
4,Tuvalu,TUV,2014,50.1
5,Niue,NIU,2014,48.4
6,Tonga,TON,2014,46.8
7,Samoa,WSM,2014,46.0
8,Kiribati,KIR,2014,44.7
9,Micronesia (country),FSM,2014,44.4
10,Kuwait,KWT,2014,36.8
11,United States,USA,2014,34.9
12,Jordan,JOR,2014,34.3
13,Saudi Arabia,SAU,2014,34.1
14,Qatar,QAT,2014,33.8
15,Libya,LBY,2014,31.3
16,Turkey,TUR,2014,30.8
17,Lebanon,LBN,2014,30.8
18,Egypt,EGY,2014,30.6
19,Bahamas,BHS,2014,30.5
20,United Arab Emirates,ARE,2014,30.3
21,New Zealand,NZL,2014,29.6
22,Iraq,IRQ,2014,29.2
23,Fiji,FJI,2014,28.9
24,Bahrain,BHR,2014,28.8
25,Canada,CAN,2014,28.3
26,Malta,MLT,2014,28.2
27,Australia,AUS,2014,27.9
28,Mexico,MEX,2014,27.8
29,Argentina,ARG,2014,27.3
30,South Africa,ZAF,2014,27.2
31,Uruguay,URY,2014,27.0
32,Chile,CHL,2014,27.0
33,Dominica,DMA,2014,26.8
34,United Kingdom,GBR,2014,26.6
35,Syria,SYR,2014,26.4
36,Dominican Republic,DOM,2014,26.1
37,Algeria,DZA,2014,26.0
38,Tunisia,TUN,2014,25.7
39,Lithuania,LTU,2014,25.6
40,Oman,OMN,2014,25.6
41,Israel,ISR,2014,25.5
42,Suriname,SUR,2014,25.4
43,Hungary,HUN,2014,25.4
44,Andorra,AND,2014,25.2
45,Czech Republic,CZE,2014,25.2
46,Venezuela,VEN,2014,24.8
47,Morocco,MAR,2014,24.7
48,Iran,IRN,2014,24.6
49,Costa Rica,CRI,2014,24.3
